"","agrp","rsex","ethnicgrpr","sexidr","rnssecgp_6","adj_imd_quintile","rwcasual","snnolov","snpres","snold","snsexdrv","snmedia","snearly","attconservative","dage1ch","disabil2","depscr","religimp","relstatr","total_wt"
"2244",1,2,1,1,8,2,2,3,4,3,4,3,3,-1.28225272350262,-1,1,0,3,3,0.305816194554724
"2245",4,1,1,1,2,2,2,3,2,4,4,2,2,-0.260086176559466,99,1,9,1,1,2.27449494268715
"2246",1,1,1,1,5,4,3,3,4,8,8,4,3,NA,-1,1,0,3,NA,1.35388140326991
"2247",6,1,1,1,3,4,1,2,1,4,4,2,2,-0.118184154205277,-1,3,0,2,1,1.40591458460538
"2248",1,1,1,1,8,3,1,4,1,3,2,2,1,1.37867607284033,-1,1,0,1,7,0.395078813547204
"2249",5,1,1,1,5,3,8,4,5,2,1,2,1,-0.293896633039825,21,3,0,3,2,1.48586402726151
"2250",2,2,1,1,5,5,1,4,4,3,1,2,1,0.898440813239221,99,1,9,1,2,0.56030087189833
"2251",2,2,1,1,5,4,1,3,3,3,3,1,2,0.446076015874076,-1,1,0,4,6,0.326130923283594
"2252",1,1,1,1,8,5,5,1,2,2,2,1,1,0.313268640888563,-1,2,-1,1,7,0.566693631821494
"2253",4,1,1,1,1,5,5,2,3,4,3,4,4,-2.62854089766268,39,1,0,4,2,2.28088980572919
"2254",2,1,1,1,6,5,2,3,3,3,3,2,3,-0.511109217576899,-1,1,0,4,7,0.473129918514668
"2255",2,2,1,1,5,4,1,5,4,4,2,1,1,1.11873032819738,23,1,1,4,1,0.376479976719052
"2256",3,2,1,1,1,3,3,2,3,3,2,2,2,-0.320734414876975,31,1,0,4,2,1.4397766300287
"2257",2,2,1,1,2,4,3,2,2,2,2,2,2,0.110035483961571,-1,1,0,4,2,0.401618841956793
"2258",3,2,1,1,1,4,1,3,2,2,2,2,1,1.11839507642483,-1,2,0,2,3,0.683329357999208
"2259",2,1,1,1,5,5,5,2,3,4,5,2,3,-1.84261411535301,-1,1,0,2,3,0.591066872929707
"2260",2,1,1,1,4,5,2,3,3,2,2,2,1,0.728343535462921,-1,1,1,3,6,1.18213374585941
"2261",4,2,1,1,1,5,3,2,2,3,3,2,2,-0.283400531922186,35,3,0,1,1,1.35750345953497
"2262",6,2,1,1,7,5,1,2,2,4,2,2,1,0.451607136786335,25,2,0,2,1,1.39311982313539
"2263",6,2,1,1,2,2,1,4,4,3,3,2,2,0.107198833924451,18,2,0,3,4,0.537813384598771
"2264",6,1,1,1,1,3,2,2,3,4,2,2,2,-0.361452772753609,25,1,0,3,3,0.724718637408714
